"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"3/10/2026","3/10/2026","3/11/2026","UAMY","UAMY 1/21/2028 Call $7.50","STC","1","$7.43","$742.95"
"3/10/2026","3/10/2026","3/11/2026","AAPL","AAPL 3/11/2026 Call $262.50","STC","1","$0.95","$94.95"
"3/10/2026","3/10/2026","3/11/2026","AAPL","AAPL 3/11/2026 Call $262.50","STC","1","$0.95","$94.95"
"3/10/2026","3/10/2026","3/11/2026","AAPL","AAPL 3/11/2026 Call $262.50","STC","1","$0.94","$93.95"
"3/10/2026","3/10/2026","3/11/2026","RXRX","RXRX 3/13/2026 Put $3.50","BTO","5","$0.15","($75.20)"
"3/10/2026","3/10/2026","3/11/2026","AAPL","AAPL 3/11/2026 Call $262.50","BTO","3","$1.20","($360.12)"
"3/10/2026","3/10/2026","3/11/2026","WM","WM 3/20/2026 Call $240.00","BTO","1","$1.60","($160.04)"
"3/10/2026","3/10/2026","3/11/2026","UAMY","UAMY 1/15/2027 Call $7.50","STC","1","$6.00","$599.95"
"3/9/2026","3/9/2026","3/10/2026","RXRX","RXRX 3/27/2026 Call $3.50","STO","4","$0.27","$107.83"
"3/9/2026","3/9/2026","3/10/2026","UAMY","UAMY 3/27/2026 Call $10.50","STO","1","$0.85","$84.95"
"3/9/2026","3/9/2026","3/10/2026","UAMY","UAMY 3/27/2026 Call $9.50","STO","1","$1.20","$119.95"
"3/9/2026","3/9/2026","3/10/2026","MRVL","Marvell Technology
CUSIP: 573874104","Sell","58","$90.45","$5,246.09"
"3/9/2026","3/9/2026","3/10/2026","RXRX","RXRX 3/27/2026 Call $3.50","STO","3","$0.22","$65.87"
"3/9/2026","3/9/2026","3/10/2026","RXRX","RXRX 3/27/2026 Call $3.50","STO","2","$0.22","$43.91"
"3/9/2026","3/9/2026","3/10/2026","IONQ","IonQ
CUSIP: 46222L108","Sell","2","$34.76","$69.51"
"3/6/2026","3/6/2026","3/9/2026","UAMY","Option Expiration for UAMY 3/6/2026 Call $10.00","OEXP","2","",""
"3/6/2026","3/6/2026","3/9/2026","CRWV","CoreWeave
CUSIP: 21873S108","Buy","1","$72.96","($72.96)"
"3/6/2026","3/6/2026","3/9/2026","CRWV","CoreWeave
CUSIP: 21873S108","Buy","1","$72.96","($72.96)"
"3/6/2026","3/6/2026","3/9/2026","CRWV","CoreWeave
CUSIP: 21873S108","Buy","1","$72.96","($72.96)"
"3/5/2026","3/5/2026","3/6/2026","O","O 3/20/2026 Put $65.00","STC","2","$1.20","$239.91"
"3/5/2026","3/5/2026","3/6/2026","RXRX","Recursion Pharmaceuticals
CUSIP: 75629V104","Buy","35","$3.63","($127.05)"
"3/4/2026","3/4/2026","3/5/2026","O","O 3/20/2026 Put $65.00","BTO","2","$0.69","($138.08)"
"3/4/2026","3/4/2026","3/5/2026","UAMY","UAMY 3/6/2026 Call $10.00","STO","1","$0.40","$39.95"
"3/4/2026","3/4/2026","3/5/2026","UAMY","UAMY 3/6/2026 Call $10.00","STO","1","$0.40","$39.95"
"3/3/2026","3/3/2026","3/4/2026","UAMY","UAMY 3/6/2026 Call $10.50","BTC","2","$0.25","($50.08)"
"3/2/2026","3/2/2026","3/2/2026","V","Cash Div: R/D 2026-02-10 P/D 2026-03-02 - 8 shares at 0.67","CDIV","","","$5.36"
"3/2/2026","3/2/2026","3/3/2026","UAMY","UAMY 3/6/2026 Call $10.50","STO","2","$0.65","$129.91"
"2/27/2026","2/27/2026","3/2/2026","RXRX","Option Expiration for RXRX 2/27/2026 Call $5.00","OEXP","10","",""
"2/27/2026","2/27/2026","3/2/2026","RXRX","Option Expiration for RXRX 2/27/2026 Call $5.50","OEXP","8","",""
"2/27/2026","2/27/2026","3/2/2026","MA","Mastercard
CUSIP: 57636Q104","Buy","1","$512.25","($512.25)"
"2/25/2026","2/25/2026","2/26/2026","IONQ","IonQ
CUSIP: 46222L108","Buy","2","$36.10","($72.20)"
"2/23/2026","2/23/2026","2/24/2026","RXRX","Recursion Pharmaceuticals
CUSIP: 75629V104","Buy","4","$3.37","($13.48)"
"2/23/2026","2/23/2026","2/24/2026","QFIN","QFIN 3/20/2026 Call $17.50","STC","3","$0.20","$59.87"
"2/23/2026","2/23/2026","2/24/2026","RXRX","Recursion Pharmaceuticals
CUSIP: 75629V104","Buy","30","$3.40","($101.85)"
"2/23/2026","2/23/2026","2/24/2026","DNN","DNN 4/17/2026 Call $4.00","STC","8","$0.60","$479.65"
"2/23/2026","2/23/2026","2/24/2026","DNN","DNN 4/17/2026 Call $4.00","STC","2","$0.60","$119.91"
"2/23/2026","2/23/2026","2/24/2026","MSFT","Microsoft
CUSIP: 594918104","Buy","1","$397.00","($397.00)"
"2/19/2026","2/19/2026","2/20/2026","QFIN","QFIN 3/20/2026 Call $17.50","STC","7","$0.30","$209.70"
"2/17/2026","2/17/2026","2/18/2026","QFIN","QFIN 3/20/2026 Call $17.50","BTO","4","$0.40","($160.16)"
"2/17/2026","2/17/2026","2/18/2026","QFIN","QFIN 3/20/2026 Call $17.50","BTO","1","$0.40","($40.04)"
"2/17/2026","2/17/2026","2/18/2026","QFIN","QFIN 3/20/2026 Call $17.50","BTO","5","$0.40","($200.20)"
"2/13/2026","2/13/2026","2/17/2026","NOW","ServiceNow
CUSIP: 81762P102","Sell","5","$106.84","$534.20"
"2/11/2026","2/11/2026","2/11/2026","","Interest on Contribution (IRA Match)","MTCH","","","$18.76"
"2/11/2026","2/11/2026","2/12/2026","","Prior Year Contribution","PFIR","","","$625.66"
"2/10/2026","2/10/2026","2/10/2026","","Reversal of Interest on Contribution (IRA Match)","MTCH","","","($10.18)"
"2/10/2026","2/10/2026","2/10/2026","","Reversal of Interest on Contribution (IRA Match)","MTCH","","","($10.17)"
"2/10/2026","2/10/2026","2/10/2026","","Reversal of Current Year Contribution as of 2026-02-05","CFIR","","","($339.26)"
"2/10/2026","2/10/2026","2/10/2026","","Reversal of Current Year Contribution as of 2026-02-05","CFIR","","","($339.26)"
"2/10/2026","2/10/2026","2/11/2026","OKLO","Oklo
CUSIP: 02156V109","Buy","2","$69.70","($139.40)"
"2/10/2026","2/10/2026","2/11/2026","LEU","Centrus Energy
CUSIP: 15643U104","Buy","1","$242.00","($242.00)"
"2/10/2026","2/10/2026","2/11/2026","SPY","SPY 2/11/2026 Call $694.00","STC","1","$1.78","$177.95"
"2/10/2026","2/10/2026","2/11/2026","SPY","SPY 2/11/2026 Call $694.00","BTO","1","$1.97","($197.04)"
"2/9/2026","2/9/2026","2/10/2026","RXRX","Recursion Pharmaceuticals
CUSIP: 75629V104","Buy","25","$3.98","($99.50)"
"2/9/2026","2/9/2026","2/10/2026","NOW","ServiceNow
CUSIP: 81762P102","Buy","5","$104.12","($520.60)"
"2/9/2026","2/9/2026","2/9/2026","","Interest on Contribution (IRA Match)","MTCH","","","$10.18"
"2/9/2026","2/9/2026","2/9/2026","","Reversal of Interest on Contribution (IRA Match)","MTCH","","","($10.17)"
"2/6/2026","2/6/2026","2/9/2026","UAMY","Option Expiration for UAMY 2/6/2026 Call $9.00","OEXP","2","",""
"2/6/2026","2/6/2026","2/9/2026","RXRX","Recursion Pharmaceuticals
CUSIP: 75629V104","Buy","100","$3.92","($391.50)"
"2/6/2026","2/6/2026","2/9/2026","RXRX","Recursion Pharmaceuticals
CUSIP: 75629V104","Buy","10","$3.92","($39.19)"
"2/6/2026","2/6/2026","2/9/2026","MRVL","Marvell Technology
CUSIP: 573874104","Buy","25","$79.62","($1,990.50)"
"2/6/2026","2/6/2026","2/6/2026","","Interest on Contribution (IRA Match)","MTCH","","","$10.25"
"2/6/2026","2/6/2026","2/6/2026","","Reversal of Interest on Contribution (IRA Match)","MTCH","","","($10.24)"
"2/5/2026","2/5/2026","2/6/2026","RXRX","Recursion Pharmaceuticals
CUSIP: 75629V104","Buy","100","$3.50","($350.50)"
"2/5/2026","2/5/2026","2/9/2026","","Current Year Contribution","CFIR","","","$339.26"
"2/5/2026","2/5/2026","2/5/2026","","Interest on Contribution (IRA Match)","MTCH","","","$10.17"
"2/5/2026","2/5/2026","2/5/2026","","Interest on Contribution (IRA Match)","MTCH","","","$10.17"
"2/5/2026","2/5/2026","2/9/2026","","Current Year Contribution","CFIR","","","$339.26"
"2/5/2026","2/5/2026","2/6/2026","IONQ","IonQ
CUSIP: 46222L108","Sell","35","$31.40","$1,099.12"
"2/5/2026","2/5/2026","2/5/2026","","Interest on Contribution (IRA Match)","MTCH","","","$10.24"
"2/5/2026","2/5/2026","2/6/2026","RXRX","Recursion Pharmaceuticals
CUSIP: 75629V104","Buy","100","$3.68","($367.50)"
"2/5/2026","2/5/2026","2/6/2026","","Current Year Contribution","CFIR","","","$341.75"
"2/5/2026","2/5/2026","2/6/2026","RXRX","Recursion Pharmaceuticals
CUSIP: 75629V104","Buy","90","$3.92","($352.80)"
"2/5/2026","2/5/2026","2/6/2026","IONQ","IonQ
CUSIP: 46222L108","Sell","34","$34.38","$1,168.92"
"2/5/2026","2/5/2026","2/6/2026","IONQ","IonQ
CUSIP: 46222L108","Sell","5","$34.38","$171.90"
"2/5/2026","2/5/2026","2/6/2026","IONQ","IonQ
CUSIP: 46222L108","Sell","26","$34.38","$893.88"
"2/4/2026","2/4/2026","2/5/2026","RXRX","Recursion Pharmaceuticals
CUSIP: 75629V104","Buy","300","$3.93","($1,179.00)"
"2/4/2026","2/4/2026","2/5/2026","RXRX","Recursion Pharmaceuticals
CUSIP: 75629V104","Buy","200","$4.09","($818.00)"
"2/3/2026","2/3/2026","2/4/2026","LEU","Centrus Energy
CUSIP: 15643U104","Buy","2","$270.89","($541.78)"
"2/3/2026","2/3/2026","2/4/2026","XOVR","EntrepreneurShares Series Trust ERShares Private-Public Crossover ETF
CUSIP: 293828877","Sell","125","$18.12","$2,264.98"
"2/3/2026","2/3/2026","2/4/2026","UAMY","UAMY 2/6/2026 Call $9.00","STO","2","$0.40","$79.91"
"2/3/2026","2/3/2026","2/4/2026","UAMY","United States Antimony
CUSIP: 911549103","Buy","5","$8.15","($40.75)"
"2/3/2026","2/3/2026","2/4/2026","OKLO","Oklo
CUSIP: 02156V109","Buy","3","$75.62","($226.86)"
"2/3/2026","2/3/2026","2/4/2026","IONQ","IonQ
CUSIP: 46222L108","Buy","6","$39.72","($238.29)"
"2/3/2026","2/3/2026","2/4/2026","IONQ","IonQ
CUSIP: 46222L108","Buy","5","$39.78","($198.90)"
"1/30/2026","1/30/2026","1/30/2026","SPY","Cash Div: R/D 2025-12-19 P/D 2026-01-30 - 12 shares at 1.993368","CDIV","","","$23.92"
"1/30/2026","1/30/2026","1/30/2026","EOG","Cash Div: R/D 2026-01-16 P/D 2026-01-30 - 14 shares at 1.02","CDIV","","","$14.28"
"1/30/2026","1/30/2026","2/2/2026","UAMY","UAMY 1/21/2028 Call $7.50","BTO","1","$4.50","($450.04)"
"1/29/2026","1/29/2026","1/29/2026","MRVL","Cash Div: R/D 2026-01-09 P/D 2026-01-29 - 5 shares at 0.06","CDIV","","","$0.30"
"1/29/2026","1/29/2026","1/30/2026","IONQ","IonQ
CUSIP: 46222L108","Buy","8","$42.66","($341.28)"
"1/29/2026","1/29/2026","1/30/2026","UAMY","UAMY 1/15/2027 Call $7.50","BTO","1","$4.10","($410.04)"
"1/29/2026","1/29/2026","1/30/2026","MRVL","Marvell Technology
CUSIP: 573874104","Buy","5","$80.07","($400.35)"
"1/29/2026","1/29/2026","1/30/2026","XOVR","EntrepreneurShares Series Trust ERShares Private-Public Crossover ETF
CUSIP: 293828877","Buy","20","$18.94","($378.80)"
"1/29/2026","1/29/2026","1/30/2026","EOG","EOG Resources
CUSIP: 26875P101","Sell","14","$113.34","$1,586.76"
"1/28/2026","1/28/2026","1/29/2026","UAMY","United States Antimony
CUSIP: 911549103","Buy","95","$8.18","($777.10)"
"1/28/2026","1/28/2026","1/29/2026","UAMY","United States Antimony
CUSIP: 911549103","Buy","100","$8.17","($817.00)"
"1/27/2026","1/27/2026","1/28/2026","NKE","Nike
CUSIP: 654106103","Sell","25","$63.84","$1,595.94"
"1/27/2026","1/27/2026","1/28/2026","IONQ","IonQ
CUSIP: 46222L108","Buy","3","$44.15","($132.45)"
"1/27/2026","1/27/2026","1/28/2026","IONQ","IonQ
CUSIP: 46222L108","Buy","5","$44.28","($221.40)"
"1/26/2026","1/26/2026","1/27/2026","MRVL","Marvell Technology
CUSIP: 573874104","Buy","3","$79.84","($239.52)"
"1/26/2026","1/26/2026","1/27/2026","IONQ","IonQ
CUSIP: 46222L108","Buy","1","$47.25","($47.25)"
"1/26/2026","1/26/2026","1/27/2026","IONQ","IonQ
CUSIP: 46222L108","Buy","9","$47.25","($425.25)"
"1/26/2026","1/26/2026","1/27/2026","MRVL","Marvell Technology
CUSIP: 573874104","Buy","10","$80.00","($800.00)"
"1/23/2026","1/23/2026","1/26/2026","IONQ","IonQ
CUSIP: 46222L108","Buy","20","$47.53","($950.60)"
"1/23/2026","1/23/2026","1/26/2026","XOVR","EntrepreneurShares Series Trust ERShares Private-Public Crossover ETF
CUSIP: 293828877","Buy","5","$19.62","($98.10)"
"1/22/2026","1/22/2026","1/23/2026","RXRX","RXRX 2/27/2026 Call $5.00","STO","10","$0.55","$549.57"
"1/22/2026","1/22/2026","1/23/2026","RXRX","RXRX 1/23/2026 Call $5.00","BTC","10","$0.11","($110.40)"
"1/22/2026","1/22/2026","1/22/2026","","Interest on Contribution (IRA Match)","MTCH","","","$3.00"
"1/22/2026","1/22/2026","1/23/2026","","Prior Year Contribution","PFIR","","","$100.00"
"1/22/2026","1/22/2026","1/23/2026","RXRX","RXRX 2/27/2026 Call $5.50","STO","8","$0.40","$319.65"
"1/22/2026","1/22/2026","1/23/2026","IONQ","IonQ
CUSIP: 46222L108","Buy","8","$48.27","($386.16)"
"1/22/2026","1/22/2026","1/23/2026","DNN","DNN 4/17/2026 Call $4.00","BTO","5","$0.53","($265.20)"
"1/22/2026","1/22/2026","1/23/2026","DNN","DNN 4/17/2026 Call $4.00","BTO","5","$0.53","($265.20)"
"1/22/2026","1/22/2026","1/23/2026","V","Visa
CUSIP: 92826C839","Buy","2","$324.97","($649.94)"
"1/22/2026","1/22/2026","1/23/2026","RXRX","RXRX 1/23/2026 Call $5.00","STO","10","$0.20","$199.57"
"1/22/2026","1/22/2026","1/23/2026","RXRX","Recursion Pharmaceuticals
CUSIP: 75629V104","Sell","400","$5.11","$2,041.96"
"1/22/2026","1/22/2026","1/23/2026","V","Visa
CUSIP: 92826C839","Buy","3","$325.82","($977.46)"
"1/22/2026","1/22/2026","1/23/2026","V","Visa
CUSIP: 92826C839","Buy","1","$325.82","($325.82)"
"1/22/2026","1/22/2026","1/23/2026","COIN","Coinbase
CUSIP: 19260Q107","Buy","4","$227.20","($908.80)"
"1/22/2026","1/22/2026","1/23/2026","KOLD","ProShares UltraShort Bloomberg Natural Gas
CUSIP: 74347Y813","Sell","40","$20.49","$819.60"
"1/22/2026","1/22/2026","1/23/2026","KOLD","ProShares UltraShort Bloomberg Natural Gas
CUSIP: 74347Y813","Sell","10","$20.49","$204.90"
"1/22/2026","1/22/2026","1/23/2026","V","Visa
CUSIP: 92826C839","Buy","1","$325.82","($325.82)"
"1/22/2026","1/22/2026","1/23/2026","V","Visa
CUSIP: 92826C839","Buy","1","$325.82","($325.82)"
"1/22/2026","1/22/2026","1/23/2026","COIN","Coinbase
CUSIP: 19260Q107","Buy","5","$228.15","($1,140.75)"
"1/21/2026","1/21/2026","1/22/2026","KOLD","ProShares UltraShort Bloomberg Natural Gas
CUSIP: 74347Y813","Buy","50","$22.21","($1,110.50)"
"1/21/2026","1/21/2026","1/22/2026","XOVR","EntrepreneurShares Series Trust ERShares Private-Public Crossover ETF
CUSIP: 293828877","Buy","50","$19.48","($973.82)"
"1/21/2026","1/21/2026","1/22/2026","XOVR","EntrepreneurShares Series Trust ERShares Private-Public Crossover ETF
CUSIP: 293828877","Buy","25","$19.41","($485.25)"
"1/21/2026","1/21/2026","1/22/2026","HIMS","Hims & Hers Health
CUSIP: 433000106","Sell","100","$29.35","$2,934.98"
"1/20/2026","1/20/2026","1/21/2026","NKE","Nike
CUSIP: 654106103","Buy","25","$62.55","($1,563.75)"
"1/16/2026","1/16/2026","1/20/2026","SPY","SPY 1/16/2026 Call $693.00","STC","1","$0.77","$76.95"
"1/16/2026","1/16/2026","1/20/2026","SPY","SPY 1/16/2026 Call $693.00","STC","3","$0.76","$227.87"
"1/15/2026","1/15/2026","1/16/2026","SPY","SPY 1/16/2026 Call $693.00","STC","4","$1.39","$555.83"
"1/15/2026","1/15/2026","1/16/2026","SPY","SPY 1/16/2026 Call $693.00","BTO","2","$1.30","($260.08)"
"1/15/2026","1/15/2026","1/16/2026","SPY","SPY 1/16/2026 Call $693.00","BTO","1","$1.99","($199.04)"
"1/15/2026","1/15/2026","1/16/2026","SPY","SPY 1/16/2026 Call $693.00","BTO","2","$1.99","($398.08)"
"1/15/2026","1/15/2026","1/16/2026","SPY","SPY 1/16/2026 Call $693.00","BTO","3","$2.46","($738.12)"
"1/15/2026","1/15/2026","1/16/2026","SPY","SPY 1/16/2026 Put $694.00","STC","2","$1.40","$279.91"
"1/15/2026","1/15/2026","1/16/2026","RXRX","Recursion Pharmaceuticals
CUSIP: 75629V104","Sell","400","$4.76","$1,903.92"
"1/15/2026","1/15/2026","1/16/2026","SPY","SPY 1/16/2026 Put $694.00","BTO","1","$1.04","($104.04)"
"1/15/2026","1/15/2026","1/16/2026","SPY","SPY 1/16/2026 Put $694.00","BTO","1","$1.14","($114.04)"
"1/13/2026","1/13/2026","1/14/2026","RXRX","RXRX 1/16/2026 Call $4.50","BTC","26","$0.31","($807.04)"
"1/13/2026","1/13/2026","1/14/2026","RXRX","RXRX 1/16/2026 Call $4.50","BTC","6","$0.31","($186.24)"
"1/13/2026","1/13/2026","1/14/2026","PINS","Pinterest
CUSIP: 72352L106","Sell","25","$26.95","$673.75"
"1/13/2026","1/13/2026","1/14/2026","MRVL","Marvell Technology
CUSIP: 573874104","Buy","10","$83.02","($830.20)"
"1/13/2026","1/13/2026","1/14/2026","AUR","Aurora Innovation
CUSIP: 051774107","Sell","463","$4.75","$2,199.16"
"1/13/2026","1/13/2026","1/14/2026","AUR","Aurora Innovation
CUSIP: 051774107","Sell","237","$4.76","$1,126.89"
"1/13/2026","1/13/2026","1/14/2026","AUR","Aurora Innovation
CUSIP: 051774107","Sell","300","$4.76","$1,426.44"
"1/12/2026","1/12/2026","1/13/2026","HIMS","Hims & Hers Health
CUSIP: 433000106","Buy","1","$32.27","($32.27)"
"1/12/2026","1/12/2026","1/13/2026","HIMS","Hims & Hers Health
CUSIP: 433000106","Buy","14","$32.27","($451.78)"
"1/12/2026","1/12/2026","1/13/2026","HIMS","Hims & Hers Health
CUSIP: 433000106","Buy","55","$32.27","($1,774.85)"
"1/12/2026","1/12/2026","1/13/2026","HIMS","Hims & Hers Health
CUSIP: 433000106","Buy","30","$32.27","($968.10)"
"1/8/2026","1/8/2026","1/9/2026","GME","GME 1/23/2026 Call $20.00","STC","1","$1.55","$154.95"
"1/7/2026","1/7/2026","1/8/2026","RXRX","RXRX 1/9/2026 Call $5.00","STC","6","$0.10","$59.74"
"1/7/2026","1/7/2026","1/8/2026","NVDA","NVIDIA
CUSIP: 67066G104","Sell","7","$190.32","$1,332.24"
"1/7/2026","1/7/2026","1/7/2026","RYN","Stock Lending","SLIP","","","$0.01"
"1/2/2026","1/2/2026","1/5/2026","PINS","Pinterest
CUSIP: 72352L106","Buy","25","$26.70","($667.50)"
"1/2/2026","1/2/2026","1/5/2026","RXRX","RXRX 1/16/2026 Call $4.50","STO","16","$0.17","$271.63"
"1/2/2026","1/2/2026","1/5/2026","RXRX","RXRX 1/16/2026 Call $4.50","STO","16","$0.17","$271.63"
"1/2/2026","1/2/2026","1/5/2026","MRVL","Marvell Technology
CUSIP: 573874104","Buy","5","$85.82","($429.10)"
""
"","","","","","","","","","The data provided is for informational purposes only. Please consult a professional tax service or personal tax advisor if you need instructions on how to calculate cost basis or questions regarding your specific tax situation. Reminder: This data does not include Robinhood Crypto or Robinhood Spending activity."
